date,value
2021-01-01,30.2
2021-01-02,29.9
2021-01-03,29.3
2021-01-04,28.6
2021-01-05,28.1
2021-01-06,27.7
2021-01-07,27.2
2021-01-08,26.5
2021-01-09,25.9
2021-01-10,25.3
2021-01-11,24.8
2021-01-12,24.5
2021-01-13,24
2021-01-14,23.8
2021-01-15,23.4
2021-01-16,23
2021-01-17,22.8
2021-01-18,22.3
2021-01-19,21.8
2021-01-20,21.3
2021-01-21,20.9
2021-01-22,20.7
2021-01-23,20.3
2021-01-24,19.8
2021-01-25,19.4
2021-01-26,19.2
2021-01-27,18.8
2021-01-28,18.4
2021-01-29,18.1
2021-01-30,17.7
2021-01-31,17.3
2021-02-01,16.9
2021-02-02,16.6
2021-02-03,16.2
2021-02-04,16
2021-02-05,15.9
2021-02-06,16
2021-02-07,16.1
2021-02-08,15.9
2021-02-09,15.7
2021-02-10,19.2
2021-02-11,25.5
2021-02-12,24.6
2021-02-13,23.8
2021-02-14,23.1
2021-02-15,22.6
2021-02-16,22.5
2021-02-17,21.8
2021-02-18,21.1
2021-02-19,20.5
2021-02-20,19.9
2021-02-21,19.4
2021-02-22,21.2
2021-02-23,25.9
2021-02-24,29.1
2021-02-25,28.2
2021-02-26,27
2021-02-27,26
2021-02-28,25.2
2021-03-01,24.5
2021-03-02,23.7
2021-03-03,27.8
2021-03-04,34.3
2021-03-05,33.1
2021-03-06,32
2021-03-07,31
2021-03-08,30.1
2021-03-09,33.7
2021-03-10,36.8
2021-03-11,35.4
2021-03-12,34.9
2021-03-13,34.3
2021-03-14,33.9
2021-03-15,33.2
2021-03-16,30.6
2021-03-17,27.7
2021-03-18,27.3
2021-03-19,26.4
2021-03-20,25.5
2021-03-21,25.1
2021-03-22,24.6
2021-03-23,24.7
2021-03-24,25.5
2021-03-25,27.3
2021-03-26,31.5
2021-03-27,35.6
2021-03-28,39.6
2021-03-29,43.5
2021-03-30,46.4
2021-03-31,49.1
2021-04-01,51.2
2021-04-02,52.5
2021-04-03,53.3
2021-04-04,53.8
2021-04-05,45.8
2021-04-06,36
2021-04-07,24.7
2021-04-08,9.21
2021-04-09,7.81
2021-04-10,6.72
2021-04-11,8.04
2021-04-12,8.24
2021-04-13,7.19
2021-04-14,7.87
2021-04-15,6.43
2021-04-16,5.35
2021-04-17,5.96
2021-04-18,6.55
2021-04-19,7.23
2021-04-20,7.92
2021-04-21,8.8
2021-04-22,9.08
2021-04-23,9.53
2021-04-24,10
2021-04-25,10.4
2021-04-26,10.7
2021-04-27,15.2
2021-04-28,19.6
2021-04-29,19.8
2021-04-30,20.6
2021-05-01,20.7
2021-05-02,20.7
2021-05-03,21.5
2021-05-04,27
2021-05-05,31.5
2021-05-06,31.1
2021-05-07,30.7
2021-05-08,30.3
2021-05-09,29.6
2021-05-10,29
2021-05-11,21.8
2021-05-12,15.3
2021-05-13,15.3
2021-05-14,15.3
2021-05-15,15.3
2021-05-16,15.4
2021-05-17,15.2
2021-05-18,15.1
2021-05-19,15
2021-05-20,14.7
2021-05-21,12.7
2021-05-22,10.5
2021-05-23,10.8
2021-05-24,10.3
2021-05-25,9.9
2021-05-26,9.66
2021-05-27,9.9
2021-05-28,7.75
2021-05-29,5.24
2021-05-30,5.13
2021-05-31,5
2021-06-01,4.85
2021-06-02,4.89
2021-06-03,4.93
2021-06-04,4.97
2021-06-05,4.85
2021-06-06,4.8
2021-06-07,4.78
2021-06-08,4.81
2021-06-09,4.91
2021-06-10,4.73
2021-06-11,4.52
2021-06-12,4.42
2021-06-13,4.21
2021-06-14,4.12
2021-06-15,6.15
2021-06-16,7.04
2021-06-17,6.47
2021-06-18,6.24
2021-06-19,6.39
2021-06-20,6.29
2021-06-21,5.96
2021-06-22,6
2021-06-23,5.62
2021-06-24,4.08
2021-06-25,2.86
2021-06-26,3.75
2021-06-27,5.48
2021-06-28,6.32
2021-06-29,11.2
2021-06-30,19.8
2021-07-01,21.3
2021-07-02,28
2021-07-03,33.5
2021-07-04,33
2021-07-05,32.5
2021-07-06,36.3
2021-07-07,43.9
2021-07-08,44.7
2021-07-09,46.6
2021-07-10,48.3
2021-07-11,49.1
2021-07-12,48.9
2021-07-13,48.6
2021-07-14,51.9
2021-07-15,53
2021-07-16,53.1
2021-07-17,52.4
2021-07-18,51.4
2021-07-19,50.2
2021-07-20,49.5
2021-07-21,48.6
2021-07-22,47.3
2021-07-23,46.1
2021-07-24,44.7
2021-07-25,44.6
2021-07-26,44.1
2021-07-27,43.8
2021-07-28,43
2021-07-29,41.9
2021-07-30,40.9
2021-07-31,38.7
2021-08-01,39.4
2021-08-02,38.1
2021-08-03,36.6
2021-08-04,30.1
2021-08-05,24.2
2021-08-06,23.6
2021-08-07,23.6
2021-08-08,23.2
2021-08-09,22.7
2021-08-10,22.7
2021-08-11,23
2021-08-12,22.6
2021-08-13,22.3
2021-08-14,21.7
2021-08-15,21
2021-08-16,15.6
2021-08-17,10.9
2021-08-18,11
2021-08-19,7.78
2021-08-20,4.65
2021-08-21,4.71
2021-08-22,4.76
2021-08-23,4.82
2021-08-24,4.74
2021-08-25,4.69
2021-08-26,4.71
2021-08-27,4.84
2021-08-28,4.58
2021-08-29,4.75
2021-08-30,7.9
2021-08-31,13.6
2021-09-01,13.3
2021-09-02,12.8
2021-09-03,11
2021-09-04,8.24
2021-09-05,8.3
2021-09-06,8.4
2021-09-07,8.47
2021-09-08,8.6
2021-09-09,8.9
2021-09-10,8.86
2021-09-11,8.65
2021-09-12,8.83
2021-09-13,12.9
2021-09-14,16.9
2021-09-15,16.5
2021-09-16,16.2
2021-09-17,15.7
2021-09-18,15.5
2021-09-19,15
2021-09-20,14.6
2021-09-21,14.1
2021-09-22,20.8
2021-09-23,29.4
2021-09-24,29.8
2021-09-25,31.5
2021-09-26,38.7
2021-09-27,43.5
2021-09-28,43.9
2021-09-29,44
2021-09-30,43.7
2021-10-01,43.1
2021-10-02,42.9
2021-10-03,43.6
2021-10-04,43.7
2021-10-05,43.7
2021-10-06,43.6
2021-10-07,46.7
2021-10-08,48.7
2021-10-09,47.8
2021-10-10,47.5
2021-10-11,47.4
2021-10-12,47.2
2021-10-13,46.6
2021-10-14,46
2021-10-15,45
2021-10-16,44.9
2021-10-17,44.4
2021-10-18,43.8
2021-10-19,42.7
2021-10-20,42.2
2021-10-21,42.2
2021-10-22,41.9
2021-10-23,41.4
2021-10-24,40.9
2021-10-25,40.8
2021-10-26,40.4
2021-10-27,39.3
2021-10-28,32.1
2021-10-29,22.6
2021-10-30,22.9
2021-10-31,22.7
2021-11-01,22.8
2021-11-02,23.4
2021-11-03,23.8
2021-11-04,23.7
2021-11-05,23.5
2021-11-06,23.2
2021-11-07,23.1
2021-11-08,19.8
2021-11-09,13.1
2021-11-10,13
2021-11-11,13.1
2021-11-12,12.6
2021-11-13,12.6
2021-11-14,13
2021-11-15,13.1
2021-11-16,13
2021-11-17,13
2021-11-18,13.4
