date,value
2025-02-23,224.893
2025-02-24,224.876
2025-02-25,224.832
2025-02-26,224.785
2025-02-27,224.737
2025-02-28,224.678
2025-03-01,224.644
2025-03-02,224.611
2025-03-03,224.576
2025-03-04,224.547
2025-03-05,224.528
2025-03-06,224.446
2025-03-07,224.417
2025-03-08,224.369
2025-03-09,224.343
2025-03-10,224.345
2025-03-11,224.37
2025-03-12,224.347
2025-03-13,224.297
2025-03-14,224.283
2025-03-15,224.28
2025-03-16,224.315
2025-03-17,224.397
2025-03-18,224.478
2025-03-19,224.535
2025-03-20,224.645
2025-03-21,224.682
2025-03-22,224.782
2025-03-23,224.876
2025-03-24,224.975
2025-03-25,225.038
2025-03-26,225.081
2025-03-27,225.103
2025-03-28,225.104
2025-03-29,225.239
2025-03-30,225.278
2025-03-31,225.321
2025-04-01,225.352
2025-04-02,225.361
2025-04-03,225.407
2025-04-04,225.45
2025-04-05,225.472
2025-04-06,225.498
2025-04-07,225.511
2025-04-08,225.502
2025-04-09,225.474
2025-04-10,225.437
2025-04-11,225.402
2025-04-12,225.362
2025-04-13,225.325
2025-04-14,225.298
2025-04-15,225.282
2025-04-16,225.273
2025-04-17,225.26
2025-04-18,225.253
2025-04-19,225.295
2025-04-20,225.345
2025-04-21,225.374
2025-04-22,225.386
2025-04-23,225.394
2025-04-24,225.393
2025-04-25,225.392
2025-04-26,225.408
2025-04-27,225.416
2025-04-28,225.418
2025-04-29,225.409
2025-04-30,225.393
2025-05-01,225.385
2025-05-02,225.372
2025-05-03,225.333
2025-05-04,225.287
2025-05-05,225.25
2025-05-06,225.247
2025-05-07,225.251
2025-05-08,225.291
2025-05-09,225.324
2025-05-10,225.356
2025-05-11,225.375
2025-05-12,225.381
2025-05-13,225.384
2025-05-14,225.389
2025-05-15,225.387
2025-05-16,225.383
2025-05-17,225.39
2025-05-18,225.407
2025-05-19,225.424
2025-05-20,225.442
2025-05-21,225.457
2025-05-22,225.464
2025-05-23,225.455
2025-05-24,225.449
2025-05-25,225.457
2025-05-26,225.449
2025-05-27,225.424
2025-05-28,225.382
2025-05-29,225.356
2025-05-30,225.347
2025-05-31,225.342
2025-06-01,225.311
2025-06-02,225.308
2025-06-03,225.325
2025-06-04,225.335
2025-06-05,225.384
2025-06-06,225.395
2025-06-07,225.401
2025-06-08,225.405
2025-06-09,225.409
2025-06-10,225.402
2025-06-11,225.388
2025-06-12,225.37
2025-06-13,225.35
2025-06-14,225.331
2025-06-15,225.308
2025-06-16,225.3
2025-06-17,225.308
2025-06-18,225.308
2025-06-19,225.323
2025-06-20,225.339
2025-06-21,225.358
2025-06-22,225.381
2025-06-23,225.39
2025-06-24,225.367
2025-06-25,225.329
2025-06-26,225.307
2025-06-27,225.3
2025-06-28,225.285
2025-06-29,225.283
2025-06-30,225.306
2025-07-01,225.315
2025-07-02,225.304
2025-07-03,225.303
2025-07-04,225.303
2025-07-05,225.293
2025-07-06,225.288
2025-07-07,225.29
2025-07-08,225.287
2025-07-09,225.289
2025-07-10,225.294
2025-07-11,225.305
2025-07-12,225.307
2025-07-13,225.304
2025-07-14,225.305
2025-07-15,225.317
2025-07-16,225.321
2025-07-17,225.323
2025-07-18,225.321
2025-07-19,225.32
2025-07-20,225.336
2025-07-21,225.333
2025-07-22,225.334
2025-07-23,225.334
2025-07-24,225.334
2025-07-25,225.345
2025-07-26,225.35
2025-07-27,225.35
2025-07-28,225.35
2025-07-29,225.35
2025-07-30,225.353
2025-07-31,225.349
2025-08-01,225.34
2025-08-02,225.331
2025-08-03,225.327
2025-08-04,225.329
2025-08-05,225.331
2025-08-06,225.334
2025-08-07,225.338
2025-08-08,225.339
2025-08-09,225.344
2025-08-10,225.346
2025-08-11,225.351
2025-08-12,225.348
2025-08-13,225.342
2025-08-14,225.342
2025-08-15,225.333
2025-08-16,225.326
2025-08-17,225.329
2025-08-18,225.319
2025-08-19,225.313
2025-08-20,225.31
2025-08-21,225.302
2025-08-22,225.298
2025-08-23,225.293
2025-08-24,225.291
2025-08-25,225.288
2025-08-26,225.281
2025-08-27,225.275
2025-08-28,225.284
2025-08-29,225.28
2025-08-30,225.273
2025-08-31,225.269
2025-09-01,225.266
2025-09-02,225.263
2025-09-03,225.256
2025-09-04,225.258
2025-09-05,225.257
2025-09-06,225.251
2025-09-07,225.25
2025-09-08,225.245
2025-09-09,225.241
2025-09-10,225.236
2025-09-11,225.232
2025-09-12,225.228
2025-09-13,225.223
2025-09-14,225.219
2025-09-15,225.216
2025-09-16,225.215
2025-09-17,225.215
2025-09-18,225.217
2025-09-19,225.22
2025-09-20,225.218
2025-09-21,225.217
2025-09-22,225.225
2025-09-23,225.232
2025-09-24,225.245
2025-09-25,225.25
2025-09-26,225.252
2025-09-27,225.257
2025-09-28,225.256
2025-09-29,225.257
2025-09-30,225.26
2025-10-01,225.255
2025-10-02,225.239
2025-10-03,225.227
2025-10-04,225.22
2025-10-05,225.211
2025-10-06,225.202
2025-10-07,225.194
2025-10-08,225.187
2025-10-09,225.177
2025-10-10,225.172
2025-10-11,225.163
2025-10-12,225.154
2025-10-13,225.144
2025-10-14,225.136
2025-10-15,225.14
2025-10-16,225.139
2025-10-17,225.141
2025-10-18,225.146
2025-10-19,225.155
2025-10-20,225.156
2025-10-21,225.161
2025-10-22,225.164
2025-10-23,225.166
2025-10-24,225.17
2025-10-25,225.171
2025-10-26,225.171
2025-10-27,225.173
2025-10-28,225.172
2025-10-29,225.173
2025-10-30,225.175
2025-10-31,225.183
2025-11-01,225.194
2025-11-02,225.201
2025-11-03,225.206
2025-11-04,225.213
2025-11-05,225.226
2025-11-06,225.233
2025-11-07,225.237
2025-11-08,225.243
2025-11-09,225.247
2025-11-10,225.245
2025-11-11,225.244
2025-11-12,225.254
2025-11-13,225.262
2025-11-14,225.274
2025-11-15,225.287
2025-11-16,225.291
2025-11-17,225.299
2025-11-18,225.31
2025-11-19,225.32
2025-11-20,225.332
2025-11-21,225.34
2025-11-22,225.342
2025-11-23,225.342
2025-11-24,225.345
2025-11-25,225.347
2025-11-26,225.349
2025-11-27,225.358
2025-11-28,225.365
2025-11-29,225.367
2025-11-30,225.373
2025-12-01,225.376
2025-12-02,225.374
2025-12-03,225.365
2025-12-04,225.357
2025-12-05,225.348
2025-12-06,225.339
2025-12-07,225.332
2025-12-08,225.323
2025-12-09,225.316
2025-12-10,225.307
2025-12-11,225.294
2025-12-12,225.287
2025-12-13,225.28
2025-12-14,225.271
2025-12-15,225.263
2025-12-16,225.256
2025-12-17,225.243
2025-12-18,225.242
2025-12-19,225.234
2025-12-20,225.24
2025-12-21,225.225
2025-12-22,225.226
2025-12-23,225.222
2025-12-24,225.216
2025-12-25,225.211
2025-12-26,225.216
2025-12-27,225.213
2025-12-28,225.213
2025-12-29,225.214
2025-12-30,225.217
2025-12-31,225.225
2026-06-07,225.4268
2026-06-08,225.4422
2026-06-09,225.4302
2026-06-10,225.4407
2026-06-11,225.4493
2026-06-12,225.4256
2026-06-13,225.3813
2026-06-14,225.3764
2026-06-15,225.3455
2026-06-16,225.3307
2026-06-17,225.3309
2026-06-18,225.3211
2026-06-19,225.3145
2026-06-20,225.3347
2026-06-21,225.3374
2026-06-22,225.3355
2026-06-23,225.3387
2026-06-24,225.3551
2026-06-25,225.3669
2026-06-26,225.3718
2026-06-27,225.381
2026-06-28,225.3719
2026-06-29,225.3857
2026-06-30,225.3873
2026-07-01,225.3719
2026-07-02,225.3599
2026-07-03,225.3551
2026-07-04,225.3438
2026-07-05,225.3313
2026-07-06,225.3129
2026-07-07,225.3166
2026-07-08,225.3163
2026-07-09,225.3207
2026-07-10,225.3305
2026-07-11,225.3275
2026-07-12,225.3195
2026-07-13,225.3106
2026-07-14,225.3032
2026-07-15,225.3079
2026-07-16,225.3058
2026-07-17,225.3055
2026-07-18,225.3203
2026-07-19,225.3222
2026-07-20,225.3189
2026-07-21,225.3244
2026-07-22,225.316
2026-07-23,225.316
2026-07-24,225.318
2026-07-25,225.3152
2026-07-26,225.3057
2026-07-27,225.3017
2026-07-28,225.3224
2026-07-29,225.3117
2026-07-30,225.3105
2026-07-31,225.3121
2026-08-01,225.3217
2026-08-02,225.3517
2026-08-03,225.3529
2026-08-04,225.3526
2026-08-05,225.3546
2026-08-06,225.3559
2026-08-07,225.3592
2026-08-08,225.3693
2026-08-09,225.381
2026-08-10,225.3832
2026-08-11,225.3696
2026-08-12,225.3579
2026-08-13,225.3467
2026-08-14,225.3411
2026-08-15,225.3381
2026-08-16,225.3255
2026-08-17,225.3136
2026-08-18,225.3015
2026-08-19,225.2971
2026-08-20,225.2914
2026-08-21,225.2856
2026-08-22,225.2789
2026-08-23,225.2734
2026-08-24,225.2799
2026-08-25,225.2815
2026-08-26,225.2865
2026-08-27,225.2896
2026-08-28,225.2933
2026-08-29,225.2945
2026-08-30,225.2972
2026-08-31,225.3059
2026-09-01,225.3136
2026-09-02,225.311
